#	generated from ===> Altmark_input.xlsm <===																	
#	--------- PRODUCTS --------																	
																		
				premiumName		coupled_premium	###		Name of row where initPrem has to be written in MIP-Matrix									
																		
!	id	type	group	name	stdName	price	varCost	labour	priceFlex	changeRate	producedByFarmType	LUperPlace	premium	initPrem	priceSupp	refPrem	Xyears	grossMargin
																		
	0	0	-1	ST_BORROW_CAP	-	-0.03	0	0	0	1	NON	0	FALSE	-	FALSE	-	-	-0.03
	1	1	-1	EC_INTEREST	-	0.02	0	0	0	1	NON	0	FALSE	-	FALSE	-	-	0.02
	2	2	-1	V_HIRED_LABOUR	-	-11.5	0	-1	0	1.011	NON	0	FALSE	-	FALSE	-	-	-11.5
	3	3	-1	V_OFF_FARM_LAB	-	9.19	0	1	0	1.011	NON	0	FALSE	-	FALSE	-	-	9.19
	4	4	-1	AGRI_SERVICES	SERVICES	0	307	0	0	1.002	NON	0	FALSE	-	FALSE	-	-	-307
	5	4	0	BARLEY	-	908	516	4.7	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	176
	6	4	0	WINTER_WHEAT	-	1361	759	8.2	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	328
	7	4	0	RAPE_SEED	-	1353	768	7.2	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	348
	8	4	0	SUGAR_BEETS	-	2285	1204	6.7	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	1068
	9	4	0	PROTEIN_PLANTS	-	792	514	6.8	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	4
	10	4	0	MAIZE_SILAGE	-	0	905	13.7	0	1	NON	0	TRUE	273.24	FALSE	273.24	1	-745
	11	4	0	LEY	-	0	871	19.5	0	1	NON	0	TRUE	273.24	FALSE	273.24	1	-642
	12	4	0	POTATOES	-	8082	2654	24.9	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	1176
	13	4	0	RYE	-	795	466	4.6	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	42
	14	4	0	RYE_BIOGAS	-	0	667	4.6	0	1	ARABLE	0	TRUE	273.24	FALSE	273.24	1	-462
	15	4	0	GPS	-	0	861	11.2	0	1	NON	0	TRUE	273.24	FALSE	273.24	1	-594
	16	4	0	GRASSILAGE_INT	-	0	569	12.5	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-529
	17	4	0	GRASSILAGE_EXT	-	0	456	11.5	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-352
	18	4	0	PORTIONSWEIDE	-	0	260	8	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-236
	19	4	0	UMTRIEBSWEIDE	-	0	264	4.8	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-240
	20	4	0	STANDWEIDE	-	0	137	3.9	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-100
	21	4	1	SOWS	-	1519	1264	15	0	1	PIG/POULTRY	0.3	FALSE	-	FALSE	-	-	235
