#		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115				
		ST_BORROW_CAP	EC_INTEREST	V_HIRED_LABOUR	V_OFF_FARM_LAB	AGRI_SERVICES	BARLEY	WINTER_WHEAT	RAPE_SEED	SUGAR_BEETS	PROTEIN_PLANTS	MAIZE_SILAGE	LEY	POTATOES	RYE	RYE_BIOGAS	GPS	GRASSILAGE_INT	GRASSILAGE_EXT	PORTIONSWEIDE	UMTRIEBSWEIDE	STANDWEIDE	SOWS	FATTENING_PIGS	BULL_DAIRY_INT	BULL_SUCKLER	SUCKLER_COW	DAIRY_COW	HEIFER_SUCKLER	HEIFER_DAIRY	HENS	BROILERS	BIOGAS_I_500kW	BIOGAS_II_500kW	BIOGAS_III_500kW	BIOGAS_IV_500kW	BIOGAS500KW	BIOGAS_I_500kW_N	BIOGAS_II_500kW_N	BIOGAS_III_500kW_N	BIOGAS500KW_N	BIOGAS_I_500kW_N14	BIOGAS_II_500kW_N14	BIOGAS_III_500kW_N14	BIOGAS500KW_N14	SET_ASIDE	DAIRY_CALF_SELL	DAIRY_CALF_BUY	SUCKLER_CALF_SELL	SUCKLER_CALF_BUY	MANURE_SELL	MANURE_BUY	LEASE_QUOTA	LET_QUOTA	COUPLED_PREM_UNMOD	DECOUPLED_PREM_UNMOD	TOTAL_PREM_MODULATED	TRANCH_1	TRANCH_2	TRANCH_3	TRANCH_4	TRANCH_5	IDLE_ARABLE	IDLE_GRASS	EXCESS_LU	LU_UPPER_LIMIT	SOWS1	SOWS2	SOWS3	SOWS4	SOWS5	SOWS6	PIGS1	PIGS2	PIGS3	PIGS4	INTCATTLE1	INTCATTLE2	INTCATTLE3	INTCATTLE4	EXTCATTLE1	EXTCATTLE2	EXTCATTLE3	DAIRY1	DAIRY2	DAIRY3	PARLOUR_1	PARLOUR_2	PARLOUR_3	ROBOT1	ROBOT2	VEALER1	VEALER2	VEALER3	HENS1	HENS2	HENS3	BROILERS1	BIOGAS500	BIOGAS500_14	MACHINERY1	MACHINERY2	MACHINERY3	MACHINERY4	MACHINERY5	MACHINERY6	MACHINERY7	HIREDLAB	OFFFARMLAB	DISINV_SOWS	DISINV_PIGS	DISINV_BEEF	DISINV_SUCKLER	DISINV_DAIRY	DISINV_VEALER	DISINV_HENS	DISINV_BROILERS	#	capacity	usedCapacity	unusedCapacity
																																																																																																																									
	energy_requirements_livestock	0	0	0	0	0	0	0	0	0	0	-88.179	-70.298	0	0	0	0	-55.93	-37.825	-61.04	-56.175	-35	0	0	19.966	23.998	49.353	57.064	18.891	19.911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-2303	2303
	requirements_pasture_suckler_cow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-61.04	-56.175	-35	0	0	0	0	34.397	0	10.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-2312	2312
	requirements_grass_silage	0	0	0	0	0	0	0	0	0	0	0	-70.298	0	0	0	0	-55.93	-37.825	0	0	0	0	0	0	0	0	24.456	6.196	14.933	0	0	8947.2	2912.5	3122.2	6193.1	0	8947.2	2912.5	3122.2	0	8947.2	2912.5	3122.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-502	502
	requirements_maize_silage	0	0	0	0	0	0	0	0	0	0	-88.179	0	0	0	0	0	0	0	0	0	0	0	0	19.966	23.998	0	17.119	1.889	4.978	0	0	13536	26437.5	4723.5	9369.5	0	13536	26437.5	4723.5	0	13536	26437.5	4723.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	293	-293
	requirements_GPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-61.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8334.8	0	0	0	0	8334.8	0	0	0	8334.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	426	-426
	requirements_rye	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-48.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1340	1329	0	0	0	1340	0	0	0	1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-263	263
	sows	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1580	-800	-672	-336	-252	-170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
	disinvest_sows	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
	fattening_pigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10800	-5400	-2000	-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
	disinvest_pigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
