scenario	replication	iteration	farm_ID	farm_name	closed	full_time	legal_type	farm_age	farm_class	management_coeff	farm_size_class	econ_size_class	ec_size_ESU	total_ha	owned_ha	used_land	revenue	lu	ruminants	granivore	overheads	maintenance	annuity	depreciation	wages_paid	rent_paid	interest_paid	coupled_subs_unmod	decoupled_subs_unmod	total_premium_mod	econ_land_rent	rent_Arable_Land	rent_Grazing_Land	total_land_Arable_Land	total_land_Grazing_Land	rented_land_Arable_Land	rented_land_Grazing_Land	new_rent_Arable_Land	new_rent_Grazing_Land	new_rented_land_Arable_Land	new_rented_land_Grazing_Land	total_assets	total_fixed_assets	land_assets	liquidity	borrowed_capital	short_term_borrowed	profit	equity_capital	change_in_equity	net_investment	labour_input	family_labour	Withdrawal	farm_net_value_added	total_hh_income	off_farm_income	labour_substitution	global_strategy	display_modulation
RentVar	0          	0          	10         	CROP-PIF1  	0          	0          	0          	23         	3          	1.00339    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	72.2353    	1320       	3723.24    	2176.9     	0          	1008.48    	1082.44    	1398.36    	0          	1398.36    	-660.334   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	94034.9    	30926.8    	65285      	29591.7    	20124.9    	0          	3038.84    	104155     	-2223.25   	-2176.9    	144.529    	1800       	18092      	3644.97    	15868.7    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	11         	CROP-PIF1  	0          	0          	0          	7          	3          	0.866231   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	77.3519    	1320       	3723.24    	2917.25    	0          	1008.48    	564.189    	1398.36    	0          	1398.36    	-532.098   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	78487.4    	16119.7    	65285      	34541.7    	9241.69    	0          	3546.66    	104663     	-1715.44   	-2917.25   	144.529    	1800       	18092      	3412.77    	16376.6    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	12         	CROP-PIF1  	0          	0          	0          	12         	3          	1.14709    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	66.8749    	1320       	3723.24    	2778.34    	0          	1008.48    	661.43     	1398.36    	0          	1398.36    	-799.221   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	81404.7    	18898      	65285      	32650.3    	11283.8    	0          	2488.85    	103605     	-2773.25   	-2778.34   	144.529    	1800       	18092      	2512.85    	15318.8    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	13         	CROP-PIF1  	0          	0          	0          	6          	3          	1.03226    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	71.1586    	1320       	3723.24    	2778.34    	0          	1008.48    	661.43     	1398.36    	0          	1398.36    	-689.558   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	81404.7    	18898      	65285      	33084.6    	11283.8    	0          	2923.12    	104039     	-2338.98   	-2778.34   	144.529    	1800       	18092      	2938.55    	15753      	12829.9    	-100       	0          	1          	
RentVar	0          	0          	14         	CROP-PIF1  	0          	0          	0          	13         	3          	1.15983    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	66.3998    	1320       	3723.24    	2520.03    	0          	1008.48    	842.243    	1398.36    	0          	1398.36    	-810.409   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	86829      	24064.1    	65285      	31056.2    	15080.8    	0          	2444.55    	103560     	-2817.55   	-2520.03   	144.529    	1800       	18092      	2724.11    	15274.5    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	15         	CROP-PIF1  	0          	0          	0          	24         	3          	1.17002    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	66.0198    	1320       	3723.24    	2646.04    	0          	1008.48    	754.042    	1398.36    	0          	1398.36    	-820.146   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	84183      	21544      	65285      	31773.7    	13228.6    	0          	2405.99    	103522     	-2856.11   	-2646.04   	144.529    	1800       	18092      	2562.11    	15235.9    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	16         	CROP-PIF1  	0          	0          	0          	13         	3          	1.19376    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	65.1342    	1320       	3723.24    	2176.9     	0          	1008.48    	1082.44    	1398.36    	0          	1398.36    	-841.04    	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	94034.9    	30926.8    	65285      	28876.1    	20124.9    	0          	2323.25    	103439     	-2938.85   	-2176.9    	144.529    	1800       	18092      	2943.58    	15153.2    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	17         	CROP-PIF1  	0          	0          	0          	12         	3          	1.01924    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	71.644     	1320       	3723.24    	2285.75    	0          	1008.48    	1006.25    	1398.36    	0          	1398.36    	-675.808   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	91749.1    	28749.9    	65285      	30183.5    	18524.9    	0          	2977.57    	104093     	-2284.53   	-2285.75   	144.529    	1800       	18092      	3477.58    	15807.5    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	18         	CROP-PIF1  	0          	0          	0          	16         	3          	0.891398   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	76.4131    	1320       	3723.24    	3216.27    	0          	1008.48    	354.876    	1398.36    	0          	1398.36    	-557.121   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	72208      	10139.3    	65285      	36236.7    	4846.12    	0          	3447.57    	104563     	-1814.53   	-3216.27   	144.529    	1800       	18092      	3020.81    	16277.5    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	19         	CROP-PIF1  	0          	0          	0          	24         	3          	1.13048    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	67.4945    	1320       	3723.24    	2400.03    	0          	1008.48    	926.244    	1398.36    	0          	1398.36    	-781.646   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	89349.1    	26464.1    	65285      	30450.1    	16844.9    	0          	2558.45    	103674     	-2703.65   	-2400.03   	144.529    	1800       	18092      	2954.11    	15388.4    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	20         	CROP-PIF1  	0          	0          	0          	14         	3          	0.999946   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	72.3639    	1320       	3723.24    	3377.09    	0          	1008.48    	242.306    	1398.36    	0          	1398.36    	-660.975   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	68830.9    	6923.03    	65285      	36790.3    	2482.16    	0          	3036.3     	104152     	-2225.79   	-3377.09   	144.529    	1800       	18092      	2459.13    	15866.2    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	21         	CROP-PIF1  	0          	0          	0          	23         	3          	0.979501   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	73.1266    	1320       	3723.24    	2400.03    	0          	1008.48    	926.244    	1398.36    	0          	1398.36    	-639.394   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	89349.1    	26464.1    	65285      	31013.4    	16844.9    	0          	3121.76    	104238     	-2140.33   	-2400.03   	144.529    	1800       	18092      	3506.16    	15951.7    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	22         	CROP-PIF1  	0          	0          	0          	18         	3          	0.811012   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	79.4117    	1320       	3723.24    	3063.12    	0          	1008.48    	462.085    	1398.36    	0          	1398.36    	-480.089   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	75424.3    	13202.4    	65285      	35622.8    	7097.51    	0          	3752.61    	104869     	-1509.48   	-3063.12   	144.529    	1800       	18092      	3470.83    	16582.5    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	23         	CROP-PIF1  	0          	0          	0          	1          	3          	1.12653    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	67.6422    	1320       	3723.24    	2917.25    	0          	1008.48    	564.189    	1398.36    	0          	1398.36    	-780.154   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	78487.4    	16119.7    	65285      	33559.4    	9241.69    	0          	2564.36    	103680     	-2697.74   	-2917.25   	144.529    	1800       	18092      	2449.89    	15394.3    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	24         	CROP-PIF1  	0          	0          	0          	3          	3          	1.12668    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	67.6363    	1320       	3723.24    	2285.75    	0          	1008.48    	1006.25    	1398.36    	0          	1398.36    	-778.025   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	91749.1    	28749.9    	65285      	29778.7    	18524.9    	0          	2572.79    	103689     	-2689.31   	-2285.75   	144.529    	1800       	18092      	3080.82    	15402.7    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	25         	CROP-PIF1  	0          	0          	0          	12         	3          	1.09917    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	68.6627    	1320       	3723.24    	2285.75    	0          	1008.48    	1006.25    	1398.36    	0          	1398.36    	-751.847   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	91749.1    	28749.9    	65285      	29882.4    	18524.9    	0          	2676.45    	103792     	-2585.64   	-2285.75   	144.529    	1800       	18092      	3182.43    	15506.4    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	26         	CROP-PIF1  	0          	0          	0          	12         	3          	1.05151    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	70.4405    	1320       	3723.24    	2176.9     	0          	1008.48    	1082.44    	1398.36    	0          	1398.36    	-705.703   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	94034.9    	30926.8    	65285      	29412.1    	20124.9    	0          	2859.18    	103975     	-2402.92   	-2176.9    	144.529    	1800       	18092      	3468.9     	15689.1    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	27         	CROP-PIF1  	0          	0          	0          	10         	3          	1.02603    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	71.3909    	1320       	3723.24    	2400.03    	0          	1008.48    	926.244    	1398.36    	0          	1398.36    	-682.269   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	89349.1    	26464.1    	65285      	30843.7    	16844.9    	0          	2951.98    	104068     	-2310.11   	-2400.03   	144.529    	1800       	18092      	3339.85    	15781.9    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	28         	CROP-PIF1  	0          	0          	0          	23         	3          	0.85094    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	77.9223    	1320       	3723.24    	2285.75    	0          	1008.48    	1006.25    	1398.36    	0          	1398.36    	-515.272   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	91749.1    	28749.9    	65285      	30819.2    	18524.9    	0          	3613.29    	104729     	-1648.81   	-2285.75   	144.529    	1800       	18092      	4100.75    	16443.2    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	29         	CROP-PIF1  	0          	0          	0          	24         	3          	1.1464     	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	66.9008    	1320       	3723.24    	2285.75    	0          	1008.48    	1006.25    	1398.36    	0          	1398.36    	-796.375   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	91749.1    	28749.9    	65285      	29706.1    	18524.9    	0          	2500.12    	103616     	-2761.98   	-2285.75   	144.529    	1800       	18092      	3009.62    	15330      	12829.9    	-100       	0          	1          	
RentVar	0          	0          	30         	CROP-PIF1  	0          	0          	0          	7          	3          	1.06862    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	69.8023    	1320       	3723.24    	3545.94    	0          	1008.48    	124.108    	1398.36    	0          	1398.36    	-726.918   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	65285      	3545.94    	65285      	37542.3    	0          	0          	2775.17    	103891     	-2486.93   	-3545.94   	144.529    	1800       	18092      	2036.68    	15605.1    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	31         	CROP-PIF1  	0          	0          	0          	7          	3          	0.887963   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	76.5412    	1320       	3723.24    	2176.9     	0          	1008.48    	1082.44    	1398.36    	0          	1398.36    	-550.922   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	94034.9    	30926.8    	65285      	30025      	20124.9    	0          	3472.12    	104588     	-1789.98   	-2176.9    	144.529    	1800       	18092      	4069.63    	16302      	12829.9    	-100       	0          	1          	
RentVar	0          	0          	32         	CROP-PIF1  	0          	0          	0          	17         	3          	1.02755    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	71.3343    	1320       	3723.24    	3545.94    	0          	1008.48    	124.108    	1398.36    	0          	1398.36    	-688.254   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	65285      	3545.94    	65285      	37695.4    	0          	0          	2928.28    	104044     	-2333.82   	-3545.94   	144.529    	1800       	18092      	2186.72    	15758.2    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	33         	CROP-PIF1  	0          	0          	0          	7          	3          	1.05114    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	70.4543    	1320       	3723.24    	2520.03    	0          	1008.48    	842.243    	1398.36    	0          	1398.36    	-706.588   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	86829      	24064.1    	65285      	31467.4    	15080.8    	0          	2855.68    	103972     	-2406.42   	-2520.03   	144.529    	1800       	18092      	3127.13    	15685.6    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	34         	CROP-PIF1  	0          	0          	0          	6          	3          	1.0059     	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	72.1417    	1320       	3723.24    	3063.12    	0          	1008.48    	462.085    	1398.36    	0          	1398.36    	-665.51    	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	75424.3    	13202.4    	65285      	34888.5    	7097.51    	0          	3018.35    	104134     	-2243.75   	-3063.12   	144.529    	1800       	18092      	2751.1     	15848.2    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	35         	CROP-PIF1  	0          	0          	0          	4          	3          	1.07849    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	69.4341    	1320       	3723.24    	2400.03    	0          	1008.48    	926.244    	1398.36    	0          	1398.36    	-732.177   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	89349.1    	26464.1    	65285      	30646      	16844.9    	0          	2754.34    	103870     	-2507.75   	-2400.03   	144.529    	1800       	18092      	3146.13    	15584.2    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	36         	CROP-PIF1  	0          	0          	0          	23         	3          	0.88972    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	76.4757    	1320       	3723.24    	2646.04    	0          	1008.48    	754.042    	1398.36    	0          	1398.36    	-554.285   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	84183      	21544      	65285      	32826.5    	13228.6    	0          	3458.8     	104575     	-1803.3    	-2646.04   	144.529    	1800       	18092      	3594.01    	16288.7    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	37         	CROP-PIF1  	0          	0          	0          	9          	3          	0.903445   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	75.9637    	1320       	3723.24    	3377.09    	0          	1008.48    	242.306    	1398.36    	0          	1398.36    	-569.163   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	68830.9    	6923.03    	65285      	37153.9    	2482.16    	0          	3399.88    	104516     	-1862.22   	-3377.09   	144.529    	1800       	18092      	2815.51    	16229.8    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	38         	CROP-PIF1  	0          	0          	0          	16         	3          	0.822146   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	78.9964    	1320       	3723.24    	3377.09    	0          	1008.48    	242.306    	1398.36    	0          	1398.36    	-491.815   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	68830.9    	6923.03    	65285      	37460.2    	2482.16    	0          	3706.18    	104822     	-1555.92   	-3377.09   	144.529    	1800       	18092      	3115.74    	16536.1    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	39         	CROP-PIF1  	0          	0          	0          	18         	3          	0.833875   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	78.5589    	1320       	3723.24    	2285.75    	0          	1008.48    	1006.25    	1398.36    	0          	1398.36    	-499.445   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	91749.1    	28749.9    	65285      	30881.9    	18524.9    	0          	3675.96    	104792     	-1586.13   	-2285.75   	144.529    	1800       	18092      	4162.15    	16505.9    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	40         	CROP-PIF1  	0          	0          	0          	5          	3          	0.838573   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	78.3836    	1320       	3723.24    	2778.34    	0          	1008.48    	661.43     	1398.36    	0          	1398.36    	-507.489   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	81404.7    	18898      	65285      	33805.6    	11283.8    	0          	3644.11    	104760     	-1617.99   	-2778.34   	144.529    	1800       	18092      	3645.09    	16474      	12829.9    	-100       	0          	1          	
RentVar	0          	0          	41         	CROP-PIF1  	2          	0          	0          	25         	3          	1.10373    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	68.4925    	1320       	3723.24    	3216.27    	0          	1008.48    	354.876    	1398.36    	0          	1398.36    	-759.545   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	72208      	10139.3    	65285      	35435.1    	4846.12    	0          	2645.97    	103762     	-2616.13   	-3216.27   	144.529    	1800       	18092      	2235.06    	15475.9    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	42         	CROP-PIF1  	0          	0          	0          	17         	3          	1.13388    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	67.3678    	1320       	3723.24    	3377.09    	0          	1008.48    	242.306    	1398.36    	0          	1398.36    	-788.403   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	68830.9    	6923.03    	65285      	36285.7    	2482.16    	0          	2531.69    	103648     	-2730.41   	-3377.09   	144.529    	1800       	18092      	1964.51    	15361.6    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	43         	CROP-PIF1  	0          	0          	0          	10         	3          	1.07648    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	69.5091    	1320       	3723.24    	3545.94    	0          	1008.48    	124.108    	1398.36    	0          	1398.36    	-734.806   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	65285      	3545.94    	65285      	37511.1    	0          	0          	2743.94    	103860     	-2518.16   	-3545.94   	144.529    	1800       	18092      	2006.03    	15573.8    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	44         	CROP-PIF1  	0          	0          	0          	16         	3          	0.85917    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	77.6153    	1320       	3723.24    	2400.03    	0          	1008.48    	926.244    	1398.36    	0          	1398.36    	-523.515   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	89349.1    	26464.1    	65285      	31472.3    	16844.9    	0          	3580.65    	104697     	-1681.45   	-2400.03   	144.529    	1800       	18092      	3956.07    	16410.6    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	45         	CROP-PIF1  	0          	0          	0          	24         	3          	0.97227    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	73.3964    	1320       	3723.24    	2778.34    	0          	1008.48    	661.43     	1398.36    	0          	1398.36    	-632.484   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	81404.7    	18898      	65285      	33310.6    	11283.8    	0          	3149.13    	104265     	-2112.97   	-2778.34   	144.529    	1800       	18092      	3160.09    	15979      	12829.9    	-100       	0          	1          	
RentVar	0          	0          	46         	CROP-PIF2  	0          	0          	2          	4          	2          	0.812195   	2          	5          	43.5293    	21.12      	9.24       	21.12      	96771.9    	28         	28         	0          	613.432    	1040       	7379.06    	2179.06    	0          	4392.96    	5861.47    	7457.89    	0          	7212.1     	1965.19    	382        	327        	17.16      	3.96       	9.24       	2.64       	0          	0          	0          	0          	267881     	104000     	166060     	-9458.14   	71274.7    	37024.6    	47131.3    	187802     	11096.9    	101821     	774.164    	1800       	43984.7    	57385.7    	55081.5    	7950.23    	-298       	0          	2          	
RentVar	0          	0          	47         	CROP-PIF2  	0          	0          	2          	10         	2          	0.939373   	2          	5          	43.5293    	21.12      	9.24       	21.12      	96771.9    	28         	28         	0          	557.956    	1040       	7379.06    	2179.06    	0          	4392.96    	6016.21    	7457.89    	0          	7212.1     	1698.17    	382        	327        	17.16      	3.96       	9.24       	2.64       	0          	0          	0          	0          	267881     	104000     	166060     	-11150     	71274.7    	39603.5    	41491.9    	186110     	9405.03    	101821     	774.164    	1800       	40037.1    	51901      	49442.1    	7950.23    	-298       	0          	2          	
