!	type	name	cost	life	labSub	landSub	capacity	maintenance	prodGroup	techChange	avDeprec	borrowedCapCosts	avAnnualCosts	avBoundEquity	equityShare
															
	2	SOWS1	2545315	25	0	0	1120	25453	1	0	44793	182245	256900	499743	895860
	2	SOWS2	1520000	25	-80	0	800	15200	1	0	22800	92764	130764	254373	456000
	2	SOWS3	1629149	25	-201.6	0	720	16291	1	0	19303	78537	110709	215360	386064
	2	SOWS4	819972	25	-168	0	320	8199	1	0	9727	39576	55788	108524	194544
	2	SOWS5	529200	25	-176.4	0	252	5292	1	0	7938	32297	45527	88562	158760
	2	SOWS6	374000	25	-170	0	170	3740	1	0	5610	22825	32175	62589	112200
	3	PIGS1	2111400	25	0	0	5400	21114	2	0	31671	128857	181642	353344	633420
	3	PIGS2	793925	25	-160	0	1920	8000	2	0	12000	48823	68823	133881	240000
	3	PIGS3	439043	25	-160	0	960	4160	2	0	6240	25388	35788	69618	124800
	3	PIGS4	293674	25	-138	0	649	2520	2	0	3780	15379	21679	42172	75600
	4	INTCATTLE1	478070	25	0	0	280	4781	3	0	12600	57497	80597	176722	315000
	4	INTCATTLE2	340264	25	-210	0	140	3403	3	0	5160	23546	33006	72372	129000
	4	INTCATTLE3	224824	25	-425	0	84	2248	3	0	2880	13142	18422	40394	72000
	4	INTCATTLE4	104000	25	-298	0	40	1040	3	0	1248	5695	7983	17504	31200
	5	EXTCATTLE1	180000	25	0	0	100	1800	4	0	2160	9857	13817	30295	54000
	5	EXTCATTLE2	76000	25	-96	0	40	760	4	0	912	4162	5834	12791	22800
	5	EXTCATTLE3	20000	25	-30	0	10	200	4	0	240	1095	1535	3366	6000
	6	DAIRY1	1065245	25	0	0	246	21305	5	0	10117	46168	73148	141903	252936
	6	DAIRY2	566975	25	-816	0	120	11340	5	0	5342	24379	38625	74930	133560
	6	DAIRY3	457094	25	-540	0	60	9142	5	0	3540	16152	25590	49644	88488
	7	PARLOUR_1	64080	12	0	0	240	2750	0	0	1602	5350	9702	10791	19224
	7	PARLOUR_2	38500	12	-440	0	92	1336	0	0	1350	4509	7734	9093	16200
	7	PARLOUR_3	22500	12	-680	0	60	781	0	0	831	2775	4794	5597	9972
	7	ROBOT1	234000	10	299	0	140	2340	0	0	6469	19445	28888	29782	51750
	7	ROBOT2	140000	10	-40	0	70	1400	0	0	4023	12093	17966	18522	32184
	8	VEALER1	39004	25	0	0	20	1560	0	0	332	1516	2125	4659	8304
	8	VEALER2	65351	25	-150	0	40	2614	0	0	706	3223	4517	9905	17655
	8	VEALER3	116055	25	-200	0	80	4644	0	0	1199	5470	7668	16814	29970
	9	HENS1	758108	25	0	0	24400	30324.4	8	0			70028	126869	227432
	9	HENS2	534900	25	-100	0	15000	21396	8	0			49200	89516	160470
	9	HENS3	379080	25	-200	0	9000	15163.2	8	0			35190	63439	113724
	10	BROILERS1	624000	25	0	0	39000	7550	9	0			46802	84370	151246
	11	BIOGAS500	2300000	20	0	0	1	46000	10	0	27375	111378	175253	305415	547500
	12	MACHINERY1	700000	12	1000	0	1000	28000	0	0	17500	58446	103946	117876	210000
	12	MACHINERY2	400000	12	0	0	500	16000	0	0	10000	33398	59398	67358	120000
	12	MACHINERY3	200000	12	-300	0	200	8000	0	0	5000	16699	29699	33679	60000
	12	MACHINERY4	120000	12	-364	0	100	4800	0	0	3000	10019	17819	20207	36000
	12	MACHINERY5	70000	12	-333	0	50	2800	0	0	1750	5845	10395	11788	21000
	12	MACHINERY6	48000	12	-200	0	30	1920	0	0	1200	4008	7128	8083	14400
	12	MACHINERY7	33000	12	-100	0	15	1320	0	0	825	2755	4900	5557	9900
